id,BTSID,StartTime,EndTime,Lat,Long,ServiceID,ServiceResource,ServiceExecutionTime,startSec,user_id,month,date,weekday,only_date
1,1023,2014-06-28 00:00:03,2014-06-28 00:00:05,31.105808,121.038742,2,0.5,2,0,1070,201406,28,5,2014-06-28
2,572,2014-06-28 00:00:04,2014-06-28 00:00:08,31.155344,121.2025,3,0.8,4,1,554,201406,28,5,2014-06-28
3,946,2014-06-28 00:00:04,2014-06-28 00:00:08,31.054947,120.995325,3,0.8,4,1,1044,201406,28,5,2014-06-28
4,37,2014-06-28 00:00:04,2014-06-28 00:01:14,31.273451,121.681542,13,14.0,70,1,231,201406,28,5,2014-06-28
5,656,2014-06-28 00:00:08,2014-06-28 00:00:12,31.098701,121.582178,3,0.8,4,5,2137,201406,28,5,2014-06-28
6,393,2014-06-28 00:00:13,2014-06-28 00:01:13,31.33167,121.440751,12,12.0,60,10,4611,201406,28,5,2014-06-28
7,808,2014-06-28 00:00:13,2014-06-28 00:00:15,31.26748,121.57859,2,0.5,2,10,2056,201406,28,5,2014-06-28
8,705,2014-06-28 00:00:13,2014-06-28 00:00:43,31.217516,121.452872,9,10.0,30,10,74,201406,28,5,2014-06-28
9,464,2014-06-28 00:00:14,2014-06-28 00:00:18,31.125467,121.581832,3,0.8,4,11,115,201406,28,5,2014-06-28
10,138,2014-06-28 00:00:14,2014-06-28 00:00:16,31.180753,121.749174,2,0.5,2,11,2817,201406,28,5,2014-06-28
11,14,2014-06-28 00:00:17,2014-06-28 00:00:32,31.298668,121.541944,6,2.0,15,14,5621,201406,28,5,2014-06-28
12,376,2014-06-28 00:00:18,2014-06-28 00:00:19,31.174053,121.282683,1,0.2,1,15,445,201406,28,5,2014-06-28
13,621,2014-06-28 00:00:19,2014-06-28 00:00:59,31.402222,121.493387,10,10.0,40,16,1379,201406,28,5,2014-06-28
14,289,2014-06-28 00:00:27,2014-06-28 00:00:52,31.260835,121.366953,8,7.0,25,24,1422,201406,28,5,2014-06-28
15,1075,2014-06-28 00:00:41,2014-06-28 00:02:11,31.273982,121.512661,14,15.0,90,38,2494,201406,28,5,2014-06-28
16,474,2014-06-28 00:00:48,2014-06-28 00:01:13,31.208346,121.544892,7,4.0,25,45,5830,201406,28,5,2014-06-28
17,777,2014-06-28 00:00:50,2014-06-28 00:00:52,31.307198,121.511929,2,0.5,2,47,1812,201406,28,5,2014-06-28
18,362,2014-06-28 00:00:50,2014-06-28 00:01:50,31.348418,121.427796,12,12.0,60,47,3192,201406,28,5,2014-06-28
19,96,2014-06-28 00:00:51,2014-06-28 00:02:21,31.109649,121.402441,14,15.0,90,48,2879,201406,28,5,2014-06-28
20,529,2014-06-28 00:00:53,2014-06-28 00:00:54,31.159304,121.358718,1,0.2,1,50,560,201406,28,5,2014-06-28
21,973,2014-06-28 00:00:59,2014-06-28 00:01:09,31.358014,121.37617,5,2.0,10,56,1556,201406,28,5,2014-06-28
22,217,2014-06-28 00:00:59,2014-06-28 00:01:00,31.209025,121.616514,1,0.2,1,56,1947,201406,28,5,2014-06-28
23,33,2014-06-28 00:01:03,2014-06-28 00:01:13,31.134254,121.280533,5,2.0,10,60,903,201406,28,5,2014-06-28
24,80,2014-06-28 00:01:03,2014-06-28 00:01:43,31.183857,121.637321,10,10.0,40,60,2085,201406,28,5,2014-06-28
25,217,2014-06-28 00:01:07,2014-06-28 00:01:17,31.209025,121.616514,5,2.0,10,64,2264,201406,28,5,2014-06-28
26,992,2014-06-28 00:01:10,2014-06-28 00:01:25,31.237022,121.546184,6,2.0,15,67,5213,201406,28,5,2014-06-28
27,312,2014-06-28 00:01:11,2014-06-28 00:01:26,31.163459,121.574025,6,2.0,15,68,5969,201406,28,5,2014-06-28
28,322,2014-06-28 00:01:16,2014-06-28 00:02:26,31.141245,121.500503,13,14.0,70,73,374,201406,28,5,2014-06-28
29,703,2014-06-28 00:01:18,2014-06-28 00:01:28,31.171972,121.140685,5,2.0,10,75,1109,201406,28,5,2014-06-28
30,648,2014-06-28 00:01:21,2014-06-28 00:01:31,31.121152,121.141999,5,2.0,10,78,979,201406,28,5,2014-06-28
31,261,2014-06-28 00:01:22,2014-06-28 00:01:32,31.337218,121.465181,5,2.0,10,79,1328,201406,28,5,2014-06-28
